500	
843.51	-0.234147	0.0265265
843.58	0.0881837	0.137641
844.52	-0.240865	-0.0145328
844.59	-0.0468368	0.0873273
845.52	-0.0672649	0.0807013
845.59	-0.0609216	0.0637198
846.53	-0.0064568	0.0548823
846.60	-0.0107267	0.0170705
847.55	0.0471464	-0.00895003
848.55	0.171869	0.0290238
849.56	0.225228	0.049159
850.56	0.147236	0.00650103
851.56	0.122111	0.00240237
852.56	0.0662583	0.0212692
853.54	0.0373518	0.0318558
854.51	0.0922361	0.0828575
854.57	-0.0506118	0.040153
855.52	0.0605943	0.0775859
855.58	0.0757517	0.0411768
856.53	0.179677	0.129976
856.58	0.0807885	0.0526076
857.54	0.366668	-0.00239321
858.54	0.318825	0.00373321
858.60	0.0725081	0.0218727
859.55	0.158271	-0.0421158
860.56	-0.0176078	0.0255399
861.54	-0.174438	0.0872372
862.56	-0.225233	0.192714
862.62	-0.315174	-0.0810561
863.56	-0.178651	0.120949
864.56	-0.0548006	0.0743809
865.55	0.00592626	0.0858821
866.57	-0.0396038	0.105016
867.58	0.129972	0.0297614
868.59	0.216196	-0.0367476
869.60	0.0767211	-0.0281125
870.61	0.0888083	-0.0559867
871.55	-0.0698348	0.0393694
871.61	0.0674876	0.020321
872.50	0.200369	0.133927
872.62	0.00992554	0.00890696
873.50	0.188584	0.116284
873.62	0.0349395	-0.0198973
874.51	0.150027	0.0894611
874.57	0.0108423	0.00351565
875.51	0.0435038	0.0185225
875.57	0.0192139	0.000122915
876.56	0.158443	-0.0429204
876.64	-0.194456	-0.0248832
877.56	0.11168	0.0112832
878.56	0.0887199	0.0270632
879.52	0.178732	0.0631336
879.62	-0.23155	-0.0431947
880.53	0.201541	-0.0118001
881.54	-0.184009	0.179175
882.55	-0.256004	0.189528
883.55	-0.570735	0.552828
884.57	-0.294896	0.265107
885.57	-0.593568	0.697618
886.57	-0.439235	0.516193
887.58	-0.372744	0.400615
888.58	-0.300492	0.261705
888.64	-0.637193	-0.0847195
889.57	-0.0279943	0.0842908
889.64	-0.507274	-0.0704997
890.58	0.0595051	0.0133608
890.65	-0.460252	-0.0837657
891.58	-0.0465593	-0.0222895
891.66	-0.413302	-0.0838724
892.60	0.0345031	-0.170663
893.59	-0.0343573	-0.0541369
894.55	0.0497287	-0.00889989
894.62	0.158901	-0.230685
895.49	0.104541	0.0275512
895.63	0.113257	-0.196764
896.50	0.298287	-0.0403647
896.64	0.0620731	-0.250101
897.50	0.229058	-0.0506574
897.57	-0.0284709	0.0208376
897.66	0.492772	-0.239369
898.51	0.184336	-0.0400631
898.58	-0.0324106	0.0480981
898.67	0.288493	-0.148806
899.58	-0.205315	-0.0604492
899.67	0.227322	-0.154942
		
//ranges	for	normalization:
500.00		
500.18	0	375
500.29	0	303
501.19	0	511
501.29	0	184
502.20	0	400
502.30	0	171
503.21	0	743
504.21	0	402
505.22	0	206
505.29	0	295
506.30	0	346
507.28	0	4879
508.29	0	1710
509.30	0	605
510.30	0	226
511.32	0	656
512.32	0	495
517.30	0	268
518.30	0	276
519.32	0	197
520.32	0	203
521.32	0	123
522.30	0	199
524.29	0	849
525.29	0	393
526.30	0	161
527.28	0	243
528.32	0	268
529.31	0	140
530.28	0	166
531.31	0	177
532.31	0	98
533.27	0	246
533.33	0	189
534.33	0	190
546.29	0	214
551.28	0	467
552.29	0	144
553.29	0	211
555.30	0	272
556.30	0	173
557.31	0	143
558.33	0	102
559.34	0	138
560.34	0	117
562.27	0	240
568.28	0	173
569.29	0	152
570.32	0	113
571.32	0	164
572.36	0	173
573.37	0	176
574.35	0	147
575.37	0	190
579.31	0	229
580.31	0	182
581.31	0	222
582.31	0	188
